Collateral Type,Sub-type,Section,Field,Field Type,Required,Options / Values,Condition / Visibility Rule
ที่ดิน (Land),,เงื่อนไข (นส.4 / นส.3ก.),ที่ดินติดสัญญาขายฝาก / สัญญาจำนอง / ห้ามโอน (โฉนดหลังแดง),Checkbox,N,,"Conditional — Hidden for อ.ช.2"
ที่ดิน (Land),,เงื่อนไข (นส.4 / นส.3ก.),ที่ดินแปลงเข้า-ออก / แปลงถนน / แปลงตะเข็บ / ทางสาธารณูปโภค,Checkbox,N,,"Conditional — Hidden for อ.ช.2"
ที่ดิน (Land),,เงื่อนไข (นส.4 / นส.3ก.),ที่ดินติดสิทธิต่างๆ (สิทธิอาศัย / สิทธิเก็บกิน / สิทธิเหนือพื้นดิน),Checkbox,N,,"Conditional — Hidden for อ.ช.2"
ที่ดิน (Land),,เงื่อนไข (นส.4 / นส.3ก.),ไม่ติดเงื่อนไขใดๆข้างต้น,Checkbox,N,,"Conditional — Hidden for อ.ช.2. Mutual exclusive — unchecks all others"
ที่ดิน (Land),,เงื่อนไข (อ.ช.2),ที่ดินติดสัญญาขายฝาก / สัญญาจำนอง / ห้ามโอน (โฉนดหลังแดง),Checkbox,N,,"Conditional — Shown for อ.ช.2 only"
ที่ดิน (Land),,เงื่อนไข (อ.ช.2),ที่ดินติดสิทธิต่างๆ (สิทธิอาศัย / สิทธิเก็บกิน / สิทธิเหนือพื้นดิน),Checkbox,N,,"Conditional — Shown for อ.ช.2 only"
ที่ดิน (Land),,เงื่อนไข (อ.ช.2),ไม่ติดเงื่อนไขใดๆข้างต้น,Checkbox,N,,"Conditional — Shown for อ.ช.2 only. Mutual exclusive"
ที่ดิน (Land),,ลักษณะที่ดิน,รูปแปลงที่ดิน,Radio,Y,"สี่เหลี่ยมต่างๆ, เหลี่ยมอื่นๆ, สามเหลี่ยม","Conditional — Hidden for อ.ช.2"
ที่ดิน (Land),,ลักษณะที่ดิน,ถนน เข้า-ออก หลักประกัน,Radio,Y,"ถนนคอนกรีต/ถนนดำ, ถนนหินคลุก, ถนนลูกรัง/ถนนดิน, ไม่มีถนนเข้า-ออกหลักประกัน","Conditional — Hidden for อ.ช.2"
ที่ดิน (Land),,ลักษณะที่ดิน,ระบบไฟฟ้า,Radio,Y,"เข้าถึง, เข้าไม่ถึง","Conditional — Hidden for อ.ช.2"
ที่ดิน (Land),,ใบประเมิน,ราคาประเมินหลักประกัน (ที่ดิน),Text + unit (บาท),Y,,"Always visible. Label changes to ""ราคาประเมินหลักประกัน"" for อ.ช.2"
ที่ดิน (Land),,ใบประเมิน,ราคาประเมินหลักประกัน (สิ่งปลูกสร้าง),Text + unit (บาท),N,,"Conditional — Only when ประเภทหลักประกัน = ที่ดินพร้อมสิ่งปลูกสร้าง"
ที่ดิน (Land),,ใบประเมิน,วันที่ออกใบประเมิน,Date,N,Format: วว/ดด/ปปปป,Always visible
ที่ดิน (Land),,ใบประเมิน,วันที่ออกเอกสารใบปลอดหนี้,Date,N,Format: วว/ดด/ปปปป,"Conditional — Only visible for อ.ช.2"
ที่ดิน (Land),,ใบประเมิน — Checklist,ใบประเมินติดคำสั่งอายัด/ติดคำสั่งยึด,Checkbox,N,,Always visible
ที่ดิน (Land),,ใบประเมิน — Checklist,ใบประเมินมีการออกใบแทน,Checkbox,N,,Always visible
ที่ดิน (Land),,ใบประเมิน — Checklist,ไม่ติดเงื่อนไขใดๆข้างต้น,Checkbox,N,,"Always visible. Mutual exclusive"
